SAN JOSE,CENTRAL
SAN JOSE,ESCAZU
SAN JOSE,DESAMPARADOS
SAN JOSE,PURISCAL
SAN JOSE,TARRAZU
SAN JOSE,ASERRI
SAN JOSE,MORA
SAN JOSE,GOICOECHEA
SAN JOSE,SANTA ANA
SAN JOSE,ALAJUELITA
SAN JOSE,VAZQUEZ DE CORONADO
SAN JOSE,ACOSTA
SAN JOSE,TIBAS
SAN JOSE,MORAVIA
SAN JOSE,MONTES DE OCA
SAN JOSE,TURRUBARES
SAN JOSE,DOTA
SAN JOSE,CURRIDABAT
SAN JOSE,PEREZ ZELEDON
SAN JOSE,LEON CORTES CASTRO
ALAJUELA,CENTRAL
ALAJUELA,SAN RAMON
ALAJUELA,GRECIA
ALAJUELA,SAN MATEO
ALAJUELA,ATENAS
ALAJUELA,NARANJO
ALAJUELA,PALMARES
ALAJUELA,POAS
ALAJUELA,OROTINA
ALAJUELA,SAN CARLOS
ALAJUELA,ZARCERO
ALAJUELA,VALVERDE VEGA
ALAJUELA,UPALA
ALAJUELA,LOS CHILES
ALAJUELA,GUATUSO
CARTAGO,CENTRAL
CARTAGO,PARAISO
CARTAGO,LA UNION
CARTAGO,JIMENEZ
CARTAGO,TURRIALBA
CARTAGO,ALVARADO
CARTAGO,OREAMUNO
CARTAGO,EL GUARCO
HEREDIA,CENTRAL
HEREDIA,BARVA
HEREDIA,SANTO DOMINGO
HEREDIA,SANTA BARBARA
HEREDIA,SAN RAFAEL
HEREDIA,SAN ISIDRO
HEREDIA,BELEN
HEREDIA,FLORES
HEREDIA,SAN PABLO
HEREDIA,SARAPIQUI
GUANACASTE,LIBERIA
GUANACASTE,NICOYA
GUANACASTE,SANTA CRUZ
GUANACASTE,BAGACES
GUANACASTE,CARRILLO
GUANACASTE,CAÑAS
GUANACASTE,ABANGARES
GUANACASTE,TILARAN
GUANACASTE,NANDAYURE
GUANACASTE,LA CRUZ
GUANACASTE,HOJANCHA
PUNTARENAS,CENTRAL
PUNTARENAS,ESPARZA
PUNTARENAS,BUENOS AIRES
PUNTARENAS,MONTES DE ORO
PUNTARENAS,OSA
PUNTARENAS,QUEPOS
PUNTARENAS,GOLFITO
PUNTARENAS,COTO BRUS
PUNTARENAS,PARRITA
PUNTARENAS,CORREDORES
PUNTARENAS,GARABITO
LIMON,CENTRAL
LIMON,POCOCI
LIMON,SIQUIRRES
LIMON,TALAMANCA
LIMON,MATINA
LIMON,GUACIMO
